Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Slot Name,Slot Name with Unit,Year,Month
29,29,Mead.Storage,04-30-2054 23:59:00,14681746,Storage,Storage (acre-ft),2054,April
29,29,Mead.Storage,05-31-2054 23:59:00,14561007,Storage,Storage (acre-ft),2054,May
29,29,Mead.Storage,06-30-2054 23:59:00,14344006,Storage,Storage (acre-ft),2054,June
29,29,Mead.Storage,07-31-2054 23:59:00,14309254,Storage,Storage (acre-ft),2054,July
29,29,Mead.Storage,08-31-2054 23:59:00,14302234,Storage,Storage (acre-ft),2054,August
29,29,Mead.Storage,09-30-2054 23:59:00,14277355,Storage,Storage (acre-ft),2054,September
29,29,Mead.Storage,10-31-2054 23:59:00,14462406,Storage,Storage (acre-ft),2054,October
29,29,Mead.Storage,11-30-2054 23:59:00,14547431,Storage,Storage (acre-ft),2054,November
29,29,Mead.Storage,12-31-2054 23:59:00,14629596,Storage,Storage (acre-ft),2054,December
29,29,Mead.Storage,01-31-2055 23:59:00,15042179,Storage,Storage (acre-ft),2055,January
29,29,Mead.Storage,02-28-2055 23:59:00,15237933,Storage,Storage (acre-ft),2055,February
29,29,Mead.Storage,03-31-2055 23:59:00,15303788,Storage,Storage (acre-ft),2055,March
29,29,Mead.Storage,04-30-2055 23:59:00,15165195,Storage,Storage (acre-ft),2055,April
29,29,Mead.Storage,05-31-2055 23:59:00,15177655,Storage,Storage (acre-ft),2055,May
29,29,Mead.Storage,06-30-2055 23:59:00,15131886,Storage,Storage (acre-ft),2055,June
29,29,Mead.Storage,07-31-2055 23:59:00,15327979,Storage,Storage (acre-ft),2055,July
29,29,Mead.Storage,08-31-2055 23:59:00,15554846,Storage,Storage (acre-ft),2055,August
29,29,Mead.Storage,09-30-2055 23:59:00,15680975,Storage,Storage (acre-ft),2055,September
29,29,Mead.Storage,10-31-2055 23:59:00,16105952,Storage,Storage (acre-ft),2055,October
29,29,Mead.Storage,11-30-2055 23:59:00,16371366,Storage,Storage (acre-ft),2055,November
29,29,Mead.Storage,12-31-2055 23:59:00,16665493,Storage,Storage (acre-ft),2055,December
29,29,Mead.Storage,01-31-2056 23:59:00,16772839,Storage,Storage (acre-ft),2056,January
29,29,Mead.Storage,02-29-2056 23:59:00,16706937,Storage,Storage (acre-ft),2056,February
